"id","authorName", "title", "startDate", "endDate"
"xRZcknwBb--xViCl_Kze","Tixier, Frédéric","Un aspect méconnu de l'Opus Lemovicense : les monstrances-reliquaires (XIVe-XVe siècles)","2011","2011"
"3fk7cHwBb--xViClMyEr","Moralejo Alvarez, Serafin","Esmaltes romanicos en Galicia : ensayo de catalogacion","1985","1985"
"4GzFZoEBCO-h5TLiKHvB","Pinelli, Paule","Catalogue raisonné des ivoires et des os figurés grecs, étrusques et romains du Musée du Louvre","1968","1968"
"pOnRCYQBE5FSCrqEjclL","Fernandez Almoguera, Adrian","De l'Académie des Beaux-Arts aux chantiers de l'Empire : Madrid et la construction d'une nouvelle pensée architecturale en Espagne (1770-1814)",,
"XunVCYQBE5FSCrqESs9W","Iturbe-Kennedy, Agueda","Entrer dans la ville. Aux confins des paysages urbain et périurbain dans le royaume de France (1670-1789)",,
"bwKzenwBb--xViCll5PG","Dor, Pierre","Les Reliquaires de la Passion dans les musées de France depuis Constantin jusqu'à la fin du 19e siècle","1996","1996"
"hMzHZoEBjJhH4D4JRVdU","Houde Lavoie, Alice","La beauté du mal","2009","2009"
"nvy7c3wBb--xViClBlXt","Pauline de Reviers","La remise en place des tombeaux du XVIIe siècle du musée des Monuments français dans les églises parisiennes dès 1816","2016","2016"
"FznRCYQBTR9xRq7VAQ5C","Muresan, Raluca","Bâtir un “Temple des Muses”. Une histoire sociale, culturelle et politique de l’architecture des théâtres publics dans la partie orientale de la Monarchie des Habsbourg (vers 1770 –1812)",,
"tiiVfnwBOOvTw-_WGev9","Gallo, Luigi","Pierre-Henri de Valenciennes (1750-1819) : le paysage dans la théorie artistique et la peinture françaises de la fin du XVIIIe siècle.","2002","2002"
"6WzGZoEBCO-h5TLicXsP","Bériou, Nicole","Le diable dans les sermons de Jacques de Voragine","1999","1999"
"LPppcXwBb--xViClgUN7","Nicolas Joyeux","Catalogue raisonné des peintures italiennes du XVIIe au XVIIIe siècle du musée des Beaux-Arts et d'Archéologie de Besançon : Collection et collectionneurs. Mémoire d'étude : Histoire de l'Art : École du Louvre, 2ème année de 2ème cycle : Septembre 2014.","2014","2014"
"XWlI8YABCO-h5TLiUHf2","Maridet, Juliette","Prier et gésir à Versailles. Les moulages de priants et de gisants dans les Galeries historiques de Louis-Philippe",,
"zWlz9YABCO-h5TLisJKy","Lacaille, Antoine","Approche des demeures médiévales de la partie septentrionale du duché de Bourgogne",,
"__XYa3wBb--xViClYBNw","Vermorel, Catherine","La gestuelle dans le portrait peint de la Renaissance italienne (XVe-XVIe siècles)",,
"jUGtm4UBkiw6YMCdByo2","Stevenard, Elvire","La dorure dans les collections du Département des Antiquités égyptiennes du Musée du Louvre",,
"DShgenwBOOvTw-_WbcMB","Bogevska-Capuano, Saska","Les églises rupestres de la région des lacs d’Ohrid et de Prespa, milieu du XIIIe - milieu du XVIe siècle",,
"OIiLE4sBM-o_a8B4T9Qc","Pepin-Mazier, Tatiana","Du panceltisme à la celtomanie : en quête de conservation de la mémoire des Celtes en Bretagne. L'exemple de Brocéliande et des paysages du Val sans Retour",,
"J2Oo_38BCO-h5TLiujkF","Vabre, Émilie","Les cartons d'invitation à dîner des Amis de l'art japonais (1906-1914)",,
